Label.ID,Label.Name
83,right-caudalanteriorcingulate_1
84,right-caudalanteriorcingulate_2
85,right-caudalanteriorcingulate_3
86,right-posteriorcingulate_1
87,right-posteriorcingulate_2
88,right-posteriorcingulate_3
89,right-posteriorcingulate_4
90,right-isthmuscingulate_1
91,right-isthmuscingulate_2
92,right-postcentral_1
93,right-postcentral_2
94,right-postcentral_3
95,right-postcentral_4
96,right-postcentral_5
97,right-postcentral_6
98,right-postcentral_7
99,right-postcentral_8
100,right-postcentral_9
101,right-postcentral_10
102,right-postcentral_11
103,right-postcentral_12
104,right-supramarginal_1
105,right-supramarginal_2
106,right-supramarginal_3
107,right-supramarginal_4
108,right-supramarginal_5
109,right-supramarginal_6
110,right-supramarginal_7
111,right-supramarginal_8
112,right-supramarginal_9
113,right-superiorparietal_1
114,right-superiorparietal_2
115,right-superiorparietal_3
116,right-superiorparietal_4
117,right-superiorparietal_5
118,right-superiorparietal_6
119,right-superiorparietal_7
120,right-superiorparietal_8
121,right-superiorparietal_9
122,right-superiorparietal_10
123,right-superiorparietal_11
124,right-superiorparietal_12
125,right-superiorparietal_13
126,right-inferiorparietal_1
127,right-inferiorparietal_2
128,right-inferiorparietal_3
129,right-inferiorparietal_4
130,right-inferiorparietal_5
131,right-inferiorparietal_6
132,right-inferiorparietal_7
133,right-inferiorparietal_8
134,right-inferiorparietal_9
135,right-inferiorparietal_10
136,right-inferiorparietal_11
137,right-inferiorparietal_12
138,right-precuneus_1
139,right-precuneus_2
140,right-precuneus_3
141,right-precuneus_4
142,right-precuneus_5
143,right-precuneus_6
144,right-precuneus_7
145,right-precuneus_8
146,right-precuneus_9
147,right-precuneus_10
148,right-cuneus_1
149,right-cuneus_2
150,right-cuneus_3
151,right-cuneus_4
152,right-pericalcarine_1
153,right-pericalcarine_2
154,right-pericalcarine_3
155,right-pericalcarine_4
156,right-lateraloccipital_1
157,right-lateraloccipital_2
158,right-lateraloccipital_3
159,right-lateraloccipital_4
160,right-lateraloccipital_5
161,right-lateraloccipital_6
162,right-lateraloccipital_7
163,right-lateraloccipital_8
164,right-lateraloccipital_9
165,right-lateraloccipital_10
166,right-lingual_1
167,right-lingual_2
168,right-lingual_3
169,right-lingual_4
170,right-lingual_5
171,right-lingual_6
172,right-lingual_7
173,right-fusiform_1
174,right-fusiform_2
175,right-fusiform_3
176,right-fusiform_4
177,right-fusiform_5
178,right-fusiform_6
179,right-fusiform_7
180,right-fusiform_8
181,right-parahippocampal_1
182,right-parahippocampal_2
183,right-parahippocampal_3
184,right-entorhinal_1
185,right-temporalpole_1
186,right-inferiortemporal_1
187,right-inferiortemporal_2
188,right-inferiortemporal_3
189,right-inferiortemporal_4
190,right-inferiortemporal_5
191,right-inferiortemporal_6
192,right-inferiortemporal_7
193,right-middletemporal_1
194,right-middletemporal_2
195,right-middletemporal_3
196,right-middletemporal_4
197,right-middletemporal_5
198,right-middletemporal_6
199,right-middletemporal_7
200,right-middletemporal_8
201,right-middletemporal_9
202,right-bankssts_1
203,right-bankssts_2
204,right-bankssts_3
205,right-superiortemporal_1
206,right-superiortemporal_2
207,right-superiortemporal_3
208,right-superiortemporal_4
209,right-superiortemporal_5
210,right-superiortemporal_6
211,right-superiortemporal_7
212,right-superiortemporal_8
213,right-superiortemporal_9
214,right-superiortemporal_10
215,right-superiortemporal_11
216,right-transversetemporal_1
217,right-insula_1
218,right-insula_2
219,right-insula_3
220,right-insula_4
221,right-insula_5
222,right-insula_6
223,right-insula_7
231,left-lateralorbitofrontal_1
232,left-lateralorbitofrontal_2
233,left-lateralorbitofrontal_3
234,left-lateralorbitofrontal_4
235,left-lateralorbitofrontal_5
236,left-lateralorbitofrontal_6
237,left-lateralorbitofrontal_7
238,left-parsorbitalis_1
239,left-parsorbitalis_2
240,left-frontalpole_1
241,left-medialorbitofrontal_1
242,left-medialorbitofrontal_2
243,left-medialorbitofrontal_3
244,left-medialorbitofrontal_4
245,left-medialorbitofrontal_5
246,left-parstriangularis_1
247,left-parstriangularis_2
248,left-parstriangularis_3
249,left-parsopercularis_1
250,left-parsopercularis_2
251,left-parsopercularis_3
252,left-parsopercularis_4
253,left-rostralmiddlefrontal_1
254,left-rostralmiddlefrontal_2
255,left-rostralmiddlefrontal_3
256,left-rostralmiddlefrontal_4
257,left-rostralmiddlefrontal_5
258,left-rostralmiddlefrontal_6
259,left-rostralmiddlefrontal_7
260,left-rostralmiddlefrontal_8
261,left-rostralmiddlefrontal_9
262,left-rostralmiddlefrontal_10
263,left-rostralmiddlefrontal_11
264,left-rostralmiddlefrontal_12
265,left-superiorfrontal_1
266,left-superiorfrontal_2
267,left-superiorfrontal_3
268,left-superiorfrontal_4
269,left-superiorfrontal_5
270,left-superiorfrontal_6
271,left-superiorfrontal_7
272,left-superiorfrontal_8
273,left-superiorfrontal_9
274,left-superiorfrontal_10
275,left-superiorfrontal_11
276,left-superiorfrontal_12
277,left-superiorfrontal_13
278,left-superiorfrontal_14
279,left-superiorfrontal_15
280,left-superiorfrontal_16
281,left-superiorfrontal_17
282,left-superiorfrontal_18
283,left-caudalmiddlefrontal_1
284,left-caudalmiddlefrontal_2
285,left-caudalmiddlefrontal_3
286,left-caudalmiddlefrontal_4
287,left-caudalmiddlefrontal_5
288,left-caudalmiddlefrontal_6
289,left-precentral_1
290,left-precentral_2
291,left-precentral_3
292,left-precentral_4
293,left-precentral_5
294,left-precentral_6
295,left-precentral_7
296,left-precentral_8
297,left-precentral_9
298,left-precentral_10
299,left-precentral_11
300,left-precentral_12
301,left-precentral_13
302,left-precentral_14
303,left-precentral_15
304,left-precentral_16
305,left-paracentral_1
306,left-paracentral_2
307,left-paracentral_3
308,left-paracentral_4
309,left-paracentral_5
310,left-rostralanteriorcingulate_1
311,left-rostralanteriorcingulate_2
312,left-caudalanteriorcingulate_1
313,left-caudalanteriorcingulate_2
314,left-posteriorcingulate_1
315,left-posteriorcingulate_2
316,left-posteriorcingulate_3
317,left-posteriorcingulate_4
318,left-isthmuscingulate_1
319,left-isthmuscingulate_2
320,left-isthmuscingulate_3
321,left-postcentral_1
322,left-postcentral_2
323,left-postcentral_3
324,left-postcentral_4
325,left-postcentral_5
326,left-postcentral_6
327,left-postcentral_7
328,left-postcentral_8
329,left-postcentral_9
330,left-postcentral_10
331,left-postcentral_11
332,left-postcentral_12
333,left-postcentral_13
334,left-postcentral_14
335,left-supramarginal_1
336,left-supramarginal_2
337,left-supramarginal_3
338,left-supramarginal_4
339,left-supramarginal_5
340,left-supramarginal_6
341,left-supramarginal_7
342,left-supramarginal_8
343,left-supramarginal_9
344,left-supramarginal_10
345,left-superiorparietal_1
346,left-superiorparietal_2
347,left-superiorparietal_3
348,left-superiorparietal_4
349,left-superiorparietal_5
350,left-superiorparietal_6
351,left-superiorparietal_7
352,left-superiorparietal_8
353,left-superiorparietal_9
354,left-superiorparietal_10
355,left-superiorparietal_11
356,left-superiorparietal_12
357,left-superiorparietal_13
358,left-superiorparietal_14
359,left-inferiorparietal_1
360,left-inferiorparietal_2
361,left-inferiorparietal_3
362,left-inferiorparietal_4
363,left-inferiorparietal_5
364,left-inferiorparietal_6
365,left-inferiorparietal_7
366,left-inferiorparietal_8
367,left-inferiorparietal_9
368,left-inferiorparietal_10
369,left-precuneus_1
370,left-precuneus_2
371,left-precuneus_3
372,left-precuneus_4
373,left-precuneus_5
374,left-precuneus_6
375,left-precuneus_7
376,left-precuneus_8
377,left-precuneus_9
378,left-precuneus_10
379,left-precuneus_11
380,left-cuneus_1
381,left-cuneus_2
382,left-cuneus_3
383,left-pericalcarine_1
384,left-pericalcarine_2
385,left-pericalcarine_3
386,left-lateraloccipital_1
387,left-lateraloccipital_2
388,left-lateraloccipital_3
389,left-lateraloccipital_4
390,left-lateraloccipital_5
391,left-lateraloccipital_6
392,left-lateraloccipital_7
393,left-lateraloccipital_8
394,left-lateraloccipital_9
395,left-lateraloccipital_10
396,left-lateraloccipital_11
397,left-lingual_1
398,left-lingual_2
399,left-lingual_3
400,left-lingual_4
401,left-lingual_5
402,left-lingual_6
403,left-lingual_7
404,left-lingual_8
405,left-fusiform_1
406,left-fusiform_2
407,left-fusiform_3
408,left-fusiform_4
409,left-fusiform_5
410,left-fusiform_6
411,left-fusiform_7
412,left-fusiform_8
413,left-parahippocampal_1
414,left-parahippocampal_2
415,left-parahippocampal_3
416,left-entorhinal_1
417,left-temporalpole_1
418,left-inferiortemporal_1
419,left-inferiortemporal_2
420,left-inferiortemporal_3
421,left-inferiortemporal_4
422,left-inferiortemporal_5
423,left-inferiortemporal_6
424,left-inferiortemporal_7
425,left-inferiortemporal_8
426,left-middletemporal_1
427,left-middletemporal_2
428,left-middletemporal_3
429,left-middletemporal_4
430,left-middletemporal_5
431,left-middletemporal_6
432,left-middletemporal_7
433,left-bankssts_1
434,left-bankssts_2
435,left-bankssts_3
436,left-superiortemporal_1
437,left-superiortemporal_2
438,left-superiortemporal_3
439,left-superiortemporal_4
440,left-superiortemporal_5
441,left-superiortemporal_6
442,left-superiortemporal_7
443,left-superiortemporal_8
444,left-superiortemporal_9
445,left-superiortemporal_10
446,left-superiortemporal_11
447,left-transversetemporal_1
448,left-transversetemporal_2
449,left-insula_1
450,left-insula_2
451,left-insula_3
452,left-insula_4
453,left-insula_5
454,left-insula_6
455,left-insula_7
