Label.ID,Label.Name
1,right-lateralorbitofrontal_1
2,right-lateralorbitofrontal_2
3,right-lateralorbitofrontal_3
4,right-lateralorbitofrontal_4
5,right-lateralorbitofrontal_5
6,right-lateralorbitofrontal_6
7,right-lateralorbitofrontal_7
8,right-parsorbitalis_1
9,right-parsorbitalis_2
10,right-frontalpole_1
11,right-medialorbitofrontal_1
12,right-medialorbitofrontal_2
13,right-medialorbitofrontal_3
14,right-medialorbitofrontal_4
15,right-medialorbitofrontal_5
16,right-parstriangularis_1
17,right-parstriangularis_2
18,right-parstriangularis_3
19,right-parstriangularis_4
20,right-parsopercularis_1
21,right-parsopercularis_2
22,right-parsopercularis_3
23,right-parsopercularis_4
24,right-rostralmiddlefrontal_1
25,right-rostralmiddlefrontal_2
26,right-rostralmiddlefrontal_3
27,right-rostralmiddlefrontal_4
28,right-rostralmiddlefrontal_5
29,right-rostralmiddlefrontal_6
30,right-rostralmiddlefrontal_7
31,right-rostralmiddlefrontal_8
32,right-rostralmiddlefrontal_9
33,right-rostralmiddlefrontal_10
34,right-rostralmiddlefrontal_11
35,right-rostralmiddlefrontal_12
36,right-rostralmiddlefrontal_13
37,right-superiorfrontal_1
38,right-superiorfrontal_2
39,right-superiorfrontal_3
40,right-superiorfrontal_4
41,right-superiorfrontal_5
42,right-superiorfrontal_6
43,right-superiorfrontal_7
44,right-superiorfrontal_8
45,right-superiorfrontal_9
46,right-superiorfrontal_10
47,right-superiorfrontal_11
48,right-superiorfrontal_12
49,right-superiorfrontal_13
50,right-superiorfrontal_14
51,right-superiorfrontal_15
52,right-superiorfrontal_16
53,right-superiorfrontal_17
54,right-caudalmiddlefrontal_1
55,right-caudalmiddlefrontal_2
56,right-caudalmiddlefrontal_3
57,right-caudalmiddlefrontal_4
58,right-caudalmiddlefrontal_5
59,right-precentral_1
60,right-precentral_2
61,right-precentral_3
62,right-precentral_4
63,right-precentral_5
64,right-precentral_6
65,right-precentral_7
66,right-precentral_8
67,right-precentral_9
68,right-precentral_10
69,right-precentral_11
70,right-precentral_12
71,right-precentral_13
72,right-precentral_14
73,right-precentral_15
74,right-precentral_16
75,right-paracentral_1
76,right-paracentral_2
77,right-paracentral_3
78,right-paracentral_4
79,right-paracentral_5
80,right-paracentral_6
81,right-rostralanteriorcingulate_1
82,right-rostralanteriorcingulate_2
