Label.ID,Label.Name
1,right-lateralorbitofrontal_1
2,right-lateralorbitofrontal_2
3,right-parsorbitalis_1
4,right-frontalpole_1
5,right-medialorbitofrontal_1
6,right-medialorbitofrontal_2
7,right-parstriangularis_1
8,right-parsopercularis_1
9,right-rostralmiddlefrontal_1
10,right-rostralmiddlefrontal_2
11,right-superiorfrontal_1
12,right-superiorfrontal_2
13,right-superiorfrontal_3
14,right-superiorfrontal_4
15,right-caudalmiddlefrontal_1
16,right-precentral_1
17,right-precentral_2
18,right-precentral_3
19,right-paracentral_1
20,right-rostralanteriorcingulate_1
21,right-caudalanteriorcingulate_1
22,right-posteriorcingulate_1
23,right-isthmuscingulate_1
24,right-postcentral_1
25,right-postcentral_2
26,right-supramarginal_1
27,right-supramarginal_2
28,right-superiorparietal_1
29,right-superiorparietal_2
30,right-superiorparietal_3
31,right-inferiorparietal_1
32,right-inferiorparietal_2
33,right-inferiorparietal_3
34,right-precuneus_1
35,right-precuneus_2
36,right-cuneus_1
37,right-pericalcarine_1
38,right-lateraloccipital_1
39,right-lateraloccipital_2
40,right-lateraloccipital_3
41,right-lingual_1
42,right-lingual_2
43,right-fusiform_1
44,right-fusiform_2
45,right-parahippocampal_1
46,right-entorhinal_1
47,right-temporalpole_1
48,right-inferiortemporal_1
49,right-inferiortemporal_2
50,right-middletemporal_1
51,right-middletemporal_2
52,right-bankssts_1
53,right-superiortemporal_1
54,right-superiortemporal_2
55,right-transversetemporal_1
56,right-insula_1
57,right-insula_2
65,left-lateralorbitofrontal_1
66,left-lateralorbitofrontal_2
67,left-parsorbitalis_1
68,left-frontalpole_1
69,left-medialorbitofrontal_1
70,left-parstriangularis_1
71,left-parsopercularis_1
72,left-rostralmiddlefrontal_1
73,left-rostralmiddlefrontal_2
74,left-rostralmiddlefrontal_3
75,left-superiorfrontal_1
76,left-superiorfrontal_2
77,left-superiorfrontal_3
78,left-superiorfrontal_4
79,left-caudalmiddlefrontal_1
80,left-precentral_1
81,left-precentral_2
82,left-precentral_3
83,left-precentral_4
84,left-paracentral_1
85,left-rostralanteriorcingulate_1
86,left-caudalanteriorcingulate_1
87,left-posteriorcingulate_1
88,left-isthmuscingulate_1
89,left-postcentral_1
90,left-postcentral_2
91,left-postcentral_3
92,left-supramarginal_1
93,left-supramarginal_2
94,left-superiorparietal_1
95,left-superiorparietal_2
96,left-superiorparietal_3
97,left-inferiorparietal_1
98,left-inferiorparietal_2
99,left-precuneus_1
100,left-precuneus_2
101,left-cuneus_1
102,left-pericalcarine_1
103,left-lateraloccipital_1
104,left-lateraloccipital_2
105,left-lingual_1
106,left-lingual_2
107,left-fusiform_1
108,left-fusiform_2
109,left-parahippocampal_1
110,left-entorhinal_1
111,left-temporalpole_1
112,left-inferiortemporal_1
113,left-inferiortemporal_2
114,left-middletemporal_1
115,left-middletemporal_2
116,left-bankssts_1
117,left-superiortemporal_1
118,left-superiortemporal_2
119,left-transversetemporal_1
120,left-insula_1
121,left-insula_2
